167 189  ==> 245  #SUP: 9 #CONF: 0.75
195 244  ==> 182  #SUP: 9 #CONF: 0.6428571428571429
182 264  ==> 189  #SUP: 9 #CONF: 0.8181818181818182
2 244  ==> 189  #SUP: 9 #CONF: 0.9
2 182  ==> 189  #SUP: 9 #CONF: 0.8181818181818182
190 245  ==> 189  #SUP: 9 #CONF: 0.6923076923076923
168 244  ==> 189  #SUP: 9 #CONF: 0.8181818181818182
190 244  ==> 189  #SUP: 9 #CONF: 0.6428571428571429
30 39 80  ==> 29  #SUP: 9 #CONF: 0.8181818181818182
30 224  ==> 29  #SUP: 10 #CONF: 0.625
195 244  ==> 189  #SUP: 10 #CONF: 0.7142857142857143
244 245  ==> 189  #SUP: 10 #CONF: 0.7142857142857143
245 380  ==> 189  #SUP: 10 #CONF: 0.6666666666666666
80 223  ==> 29  #SUP: 11 #CONF: 0.6111111111111112
182 195  ==> 189  #SUP: 12 #CONF: 0.6666666666666666
168 245  ==> 189  #SUP: 12 #CONF: 0.6666666666666666
168 182  ==> 189  #SUP: 13 #CONF: 0.7222222222222222
182 245  ==> 189  #SUP: 14 #CONF: 0.6666666666666666
168 195  ==> 189  #SUP: 14 #CONF: 0.6363636363636364
182 244  ==> 189  #SUP: 16 #CONF: 0.8421052631578947
39 117  ==> 29  #SUP: 17 #CONF: 0.6538461538461539
30 80  ==> 29  #SUP: 17 #CONF: 0.7727272727272727
30 39  ==> 29  #SUP: 22 #CONF: 0.6470588235294118
69 86  ==> 13  #SUP: 23 #CONF: 0.6388888888888888
39 80  ==> 29  #SUP: 29 #CONF: 0.6304347826086957
294  ==> 13  #SUP: 34 #CONF: 0.6415094339622641
