64 66  ==> 38  #SUP: 19 #CONF: 0.7916666666666666
215 396  ==> 20  #SUP: 19 #CONF: 0.76
477 1030  ==> 126  #SUP: 20 #CONF: 0.8695652173913043
14 201  ==> 215  #SUP: 20 #CONF: 0.625
201 396  ==> 20  #SUP: 21 #CONF: 0.875
89 176  ==> 18  #SUP: 22 #CONF: 0.88
108 330  ==> 2  #SUP: 23 #CONF: 0.8214285714285714
108 399  ==> 2  #SUP: 23 #CONF: 0.92
14 201  ==> 20  #SUP: 27 #CONF: 0.84375
44 139  ==> 141  #SUP: 28 #CONF: 0.6222222222222222
215 416  ==> 20  #SUP: 30 #CONF: 0.7317073170731707
43 87  ==> 42  #SUP: 30 #CONF: 0.7894736842105263
201 416  ==> 20  #SUP: 30 #CONF: 0.8571428571428571
73  ==> 16  #SUP: 38 #CONF: 0.6229508196721312
228  ==> 16  #SUP: 39 #CONF: 0.6190476190476191
234  ==> 42  #SUP: 43 #CONF: 0.6825396825396826
14 215  ==> 20  #SUP: 43 #CONF: 0.6935483870967742
201 215  ==> 20  #SUP: 43 #CONF: 0.7413793103448276
108 109  ==> 2  #SUP: 49 #CONF: 0.8596491228070176
109  ==> 2  #SUP: 98 #CONF: 0.6086956521739131
